query,grade,rank,id,snippet,tags,notes
How many calories do I have to burn to lose 1 Kilogram in weight?,,5,14556:0,How many calories does it burn to regrow a liver?,<liver><calories><energy><organ-donation>,
prevent stomach ache when taking medication,,1,9520:0,Stomach ache after drinking tea,<caffeine><tea>,
prevent stomach ache when taking medication,,2,4525:1,"Very often, doctors or pharmacists will advise patients to take certain pills with food to ""act as a buffer"" so the patient is less likely to get a stomach ache from taking the pill.",<medications><digestion><stomach>,
prevent stomach ache when taking medication,,3,4433:0,"When is a stomach ""empty"" for the purpose of taking medication?",<medications><digestion>,
prevent stomach ache when taking medication,,4,1696:3,"Whenever I have a head ache, I take an APC. I suspect it's actually the aspirin in there that does the job, since when I take just paracetamol, it doesn't do squat.",<medications><analgesics>,
prevent stomach ache when taking medication,,5,16659:2,"What are some useful methods, strategies or techniques that are available to an individual to prevent them from forgetting to take their medication and help them recall if they have already taken it?",<medications>,
is it ok to use a pillow?,,1,5044:11,"Sleep benefits: Some argue that pillows interfere with quality sleep, especially when people use the wrong pillow.",<sleep><spine><position>,
is it ok to use a pillow?,,2,13407:0,Is it OK to use soap to clean penis?,<penis>,
is it ok to use a pillow?,,3,13407:1,I have something white dots on my penis. Is it OK to use soap to clean penis? Or what should you use to clean penis?,<penis>,
is it ok to use a pillow?,,4,1222:5,Or is it ok assuming I do not use them too much?,<dentistry><side-effects><micronutrients><oral-health>,
is it ok to use a pillow?,,5,1222:7,"If they are bad, is it still ok to use them if I brush my teeth right after using them?",<dentistry><side-effects><micronutrients><oral-health>,
my urine is very yellow. Is this a problem?,,1,99:0,Why does my antibiotic make my urine yellow?,<side-effects><coloration-discoloration><antibiotics><urine><urinary-system>,
my urine is very yellow. Is this a problem?,,2,99:1,"When I was given antibiotics for fever by my doctor, I noticed that my urine is unusually yellow. Why is that?",<side-effects><coloration-discoloration><antibiotics><urine><urinary-system>,
my urine is very yellow. Is this a problem?,,3,7177:5,"I can reduce the problem by drinking plenty of water before going to bed, but I will wake up to pee in the middle of the night and the urine is very diluted so I assume I drank more water than needed to keep the salt balance (I've read 0.6 % blood salt concentration), but I can still very much feel the effect.",<nutrition><sleep><salt>,
my urine is very yellow. Is this a problem?,,4,13662:0,"Why are parts of my teeth super white, but most yellow?",<dentistry>,
my urine is very yellow. Is this a problem?,,5,9035:1,"I have heard of people using urine as a mouthwash. There are a lot of claims that it helps to cure a variety of dental problems, such as gum inflammation. So far, I can only find anecdotal evidence.",<oral-health><urine><gums><mouthwash><gingivitis>,
is it ok to go to the pool after I had a piercing?,,1,5733:2,I swim regularly (4-5 times a week) in a swimming pool and I was wondering if there is any problem with swimming during the healing period of the piercing.,<recovery><swimming><nipples><body-piercings>,
is it ok to go to the pool after I had a piercing?,,2,5733:4,"P.S. I haven't still decided if I am going to get the piercing or not, that's the reason why I haven't still asked a professional about it.",<recovery><swimming><nipples><body-piercings>,
is it ok to go to the pool after I had a piercing?,,3,1270:1,"OK, I have an ear infection. The doctor says that I should not allow any water to go into my ears.",<infection><otolaryngology><ear><swimming>,
is it ok to go to the pool after I had a piercing?,,4,11846:6,"A good example is playing pool. When I look at the ball I am going to want to pot, I see my cue and the white ball 'double' and am unable to make the shot.",<double-vision>,
is it ok to go to the pool after I had a piercing?,,5,5733:0,Is it safe to swim during the healing period of a nipple piercing?,<recovery><swimming><nipples><body-piercings>,
does gun powder help sealing a wound?,,1,4335:4,Presumably to seal the wound more completely by cauterizing it.,<first-aid><stitches><penetrate-trauma-wound><exsanguination>,
does gun powder help sealing a wound?,,2,4335:3,"The solution presented in the film is to rub some gunpowder (assuming period accuracy, this would be early 1800's black powder, not the modern stuff) into the wound and then ignite it.",<first-aid><stitches><penetrate-trauma-wound><exsanguination>,
does gun powder help sealing a wound?,,3,66:1,I have used vitamin E to help prevent scarring. Are there any other topical applications that can assist wound healing and prevent scarring?,<wound><wound-care>,
does gun powder help sealing a wound?,,4,12908:1,"In case a victim of an accident or gun shot or other trauma of that sort is heavily bleeding, does it increase survival chances to tell them to stay awake?",<bleeding><alertness-level><penetrate-trauma-wound><unconsciousness><exsanguination>,
does gun powder help sealing a wound?,,5,113:4,Does using urine helps in this regad?,<wound-care><first-aid>,
is it ok to eat after brushing my teeth at night?,,1,20822:10,"Is there any medical significance to brushing your teeth after waking up, if you're not going to eat until lunch?",<dentistry><brushing-teeth>,
is it ok to eat after brushing my teeth at night?,,2,1222:7,"If they are bad, is it still ok to use them if I brush my teeth right after using them?",<dentistry><side-effects><micronutrients><oral-health>,
is it ok to eat after brushing my teeth at night?,,3,10013:2,I brush two times a day once in the morning and once in the night. But I am still having yellow stains in my teeth.,<dentistry><coloration-discoloration><removal><brushing-teeth><bleach-teeth-whitening>,
is it ok to eat after brushing my teeth at night?,,4,5597:1,"Usually in the morning I brush my teeth after breakfast. But my dentist told me that it's better not brush them right after eating food, because eating makes them soft.",<dentistry><hygiene><oral-health>,
is it ok to eat after brushing my teeth at night?,,5,12800:3,"Further, can I eat potatoes and breads without brushing ever again and not have any adverse effects on my teeth?",<dentistry><sugar>,
what are the effects of drinking coffee?,,1,4879:3,But coffee has many more active substances than just caffeine. What effect does the drinking of coffee have on fluid balance in the body?,<blood-pressure><hydration><coffee><urination><diuretics>,
what are the effects of drinking coffee?,,2,309:0,How much coffee can a healthy adult drink?,<nutrition>,
what are the effects of drinking coffee?,,3,7348:0,Should i start drinking coffee or tea for health reasons?,<coffee>,
what are the effects of drinking coffee?,,4,65:4,"I typically drink green tea instead of coffee, since the effect is more mild.",<caffeine><drug-metabolism><energy><shake-tremble-fidget>,
what are the effects of drinking coffee?,,5,16258:2,"I do drink quite a few cups of coffee. And I'm aware that, contrary to belief, cups of coffee do actually count as water intake.",<water>,
wrist pain,,1,11842:0,Wrist pain when bent back,<pain><wrist>,
wrist pain,,2,22922:0,Wrist pain when bearing weight and bending both sides,<pain><orthopedics><wrist>,
wrist pain,,3,11842:3,"The pain is along the top of the wrist, somewhat on the ulnar side although radiating out to the whole wrist to some extent.",<pain><wrist>,
wrist pain,,4,191:0,Right wrist pain from using computer mouse,<computers><pain><hand><wrist>,
wrist pain,,5,11842:1,"I get quite a strong pain in my wrist when I bend it back, or play a wrist-intensive sport like squash, but the rest of the time my wrist is OK and my fingers don't feel any different either.",<pain><wrist>,
athletes's foot,,1,7536:3,"The maker, Novartis, advertises it as a treatment for athlete's foot. But the company writes that it ""is only recommended for the treatment of athlete's foot (tinea between the toes)"".",<medications><fungal-infection><athletes-foot><jock-itch-tinea-cruris><ringworm>,
athletes's foot,,2,13058:0,What are the health implications of using ethylene glycol to treat athletes foot (tinea pedis),<athletes-foot>,
athletes's foot,,3,10213:1,Is this an instance of pitted keratolysis? There are no other lesions on the feet. Or is it athlete's foot?,<feet><abscess-lesions><athletes-foot>,
athletes's foot,,4,3618:0,How to do laundry to kill and prevent athlete's foot fungus?,<clothes><athletes-foot><bleach><detergent><jock-itch-tinea-cruris>,
athletes's foot,,5,9264:2,"condition called hyperhidrosis, which makes you sweat more than usual. Fungal infections, such as athlete's foot, can also lead to bad foot  odour.",<hygiene><perspiration><smell><athletes-foot>,
is washing with hot or cold water better at killing germs?,,1,500:3,Does washing your hands with hot water kill germs better than washing them with cold water?,<water>,
is washing with hot or cold water better at killing germs?,,2,500:0,Does hot water kill germs better than cold water?,<water>,
is washing with hot or cold water better at killing germs?,,3,500:1,I was recently told that I should use hot water to wash my hands rather than using cold water because the hot water will kill germs better.,<water>,
is washing with hot or cold water better at killing germs?,,4,17260:0,"Drink Cold, Warm, or Hot water. Which one is better for constipation?",<drinks><water-temperature><constipation>,
is washing with hot or cold water better at killing germs?,,5,17260:1,"I want to ask, between cold, warm and hot water, which one is better to drink for relieving constipation? Sources and references please.",<drinks><water-temperature><constipation>,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",,1,501:0,Oxygen saturation value of smokers,<smoking><oxygenation><biological-parameter>,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",,2,19746:0,What oxygen saturation level causes fainting?,<hypoxia>,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",,3,17540:12,"(Like the amount/% of oxygen being pumped in a LOT of oxygen in the lungs all at once, and the lungs start to hurt?",<breathing><procedural-expectations><anesthesia>,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",,4,3553:1,"Many different sources note that normal oxygen saturation for healthy people is 95% or higher. Oxygen saturation below 90% or other sources 88%, is considered low.",<oxygenation><pulmonology>,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",,5,3553:0,What effects does an oxygen saturation between 90% and 94% have on the body?,<oxygenation><pulmonology>,
what is pathogenesis?,,1,1865:0,"What's the difference between etiology, pathogenesis, pathology, pathophysiology and epidemiology?",<terminology><pathophysiology>,
what is pathogenesis?,,2,1865:3,"etiology - ""The study of causes, as in the causes of a disease"". Pathogenesis: ""The development of a disease and the chain of events leading to that disease"".",<terminology><pathophysiology>,
what is pathogenesis?,,3,14604:7,One of the greatest challenges in defining the pathogenesis of Crohn's disease is to identify predisposing environmental factors.,<fibre><gut-microbiota-flora><fodmap>,
what is pathogenesis?,,4,5671:7,"Furthermore, additional insight into the pathogenesis of brain diseases obtained with 7 T MRI could be the basis for new treatment developments.",<tendinopathy><diagnostics><mri><medical-imaging>,
what is pathogenesis?,,5,14604:2,"The association of Crohn's disease with westernization has implicated lifestyle factors in pathogenesis. While diet is a likely candidate, evidence for specific changes in dietary habits and/or intake has been lacking.",<fibre><gut-microbiota-flora><fodmap>,
can ultrasound cause damage?,,1,7428:0,Can headphones produce undesirable ultrasounds that can damage my hearing?,<hearing>,
can ultrasound cause damage?,,2,18108:3,"If knee damage is because of heavy weight, walking causes them to lose weight, which will again will not cause knee damage (as they reduced weight).",<walking><strength-training>,
can ultrasound cause damage?,,3,14685:4,"Does it cause a real damage, or to this quantities the body recovers.",<smoking>,
can ultrasound cause damage?,,4,15496:1,"Some forms of tinnitus are caused by damage to the microscopic hairs in the inner ear, that, once damaged, can send electrical signals that cause the ringing sound.",<hearing><ear><tinnitus><cure><deaf>,
can ultrasound cause damage?,,5,13846:3,"If the decibels are equal, does low frequency sound cause the same amount of total hearing damage as other frequencies? If not, how much less damage does it cause? What is the maximum safe threshold for lower frequencies?",<hearing><ear><frequency><eardrum><soundwaves>,
my glasses cause me headache,,1,1530:0,Can tight glasses cause headaches?,<headache><glasses>,
my glasses cause me headache,,2,13126:2,"I find that I get headaches if I wear tight glasses, and found a similar question here: Can tight glasses cause headaches?",<blood-circulation><glasses>,
my glasses cause me headache,,3,1530:7,"I usually get a headache, but it feels relieved when I take off my glasses for a bit. Is this perhaps a psychological effect or my tight glasses be causing headaches?",<headache><glasses>,
my glasses cause me headache,,4,3161:4,I've been wearing these glasses about 3 hours now (on and off with my old ones as I feel eye strain and headache) and the distortion has not lessened.,<eye><ophthalmology>,
my glasses cause me headache,,5,3483:3,What can cause a visual disturbance followed by a headache?,<brain><tumors>,
negative effects of antibiotics,,1,3069:1,"Ear infections are not contagious, and most resolve without antibiotics. There are risks inherent with excessive antibiotic use as well as many allergies and negative side effects.",<infection><otolaryngology><ear>,
negative effects of antibiotics,,2,19203:2,Is it possible that antibiotic resistance also means that some bacteria will be harder for the immune system (without effective antibiotics) to combat?,<antibiotics>,
negative effects of antibiotics,,3,1814:0,What are the negative health effects of Absolute Zero Monster Energy,<caffeine>,
negative effects of antibiotics,,4,4618:0,Effect of antibiotics on breastfed infant,<antibiotics><pediatrics><infant><breastfeeding><gut-microbiota-flora>,
negative effects of antibiotics,,5,11575:2,Is there any evidence that taking a bath or shower when sick has negative effects?,<water><disease><fever><bath>,
gallstones relief,,1,669:0,Gallstones pain relief?,<pain><gallbladder><gastroenterology>,
gallstones relief,,2,10821:4,"Anyway, I am having an ultrasound to confirm the findings of gallstones (or kidney stones), but even if they found gallstones, what then do they do? Since the gallbladder was already removed?",<gallbladder><gallstone><bile-biliary-duct>,
gallstones relief,,3,10142:3,"So my question is; How does the use of Robb(balm) relief the pain, is there a chemical constituent present in it that brings about such relief?",<medications><pain><chemical>,
gallstones relief,,4,9091:3,Are there any options for at least a temporary relief?,<infection><feet>,
gallstones relief,,5,3399:0,Can ulcer pain be distinguished from gallstone pain?,<pain><gastroenterology><ulcers><gallstone>,
I am concerned that my stiches (sutures) are not healing fast enough,,1,13418:0,Does fasting inhibit healing?,<nutrition><fasting>,
I am concerned that my stiches (sutures) are not healing fast enough,,2,15019:2,"After the surgeon removed the exterior sutures, I was still having problems with the wound healing. After another week or so, I noticed something on my palm at the incision site.",<surgery><sutures>,
I am concerned that my stiches (sutures) are not healing fast enough,,3,13418:4,"Namely, the body really doesn't use protein for energy, but for rebuilding tissues, essentially a constant, slow healing process. Without a supply of amino acids, is proper healing inhibited while fasting?",<nutrition><fasting>,
I am concerned that my stiches (sutures) are not healing fast enough,,4,8709:0,Vicryl suture not dissolving,<surgery>,
I am concerned that my stiches (sutures) are not healing fast enough,,5,15222:0,Can any wound be sutured?,<surgery><sutures>,
"eye floaters: are they dangerous, how to get rid of them?",,1,3452:5,"How do floaters ""work""?",<eye><ophthalmology>,
"eye floaters: are they dangerous, how to get rid of them?",,2,15:0,Will eye floaters ever disappear?,<eye><ophthalmology><aging>,
"eye floaters: are they dangerous, how to get rid of them?",,3,15:1,According to wikipedia on eye floaters:  Floaters are often caused by the normal aging process and will usually disappear as the brain learns to ignore them.,<eye><ophthalmology><aging>,
"eye floaters: are they dangerous, how to get rid of them?",,4,3452:1,"When I first started getting floaters in my eyes (several years ago), my opthalmologist told me that they don't go away but over time your brain learns to ignore them/filter them out.",<eye><ophthalmology>,
"eye floaters: are they dangerous, how to get rid of them?",,5,3452:0,What causes optical floaters to be more or less visible?,<eye><ophthalmology>,
cure for snake venom,,1,4776:2,The argument towards snake venom being safe to ingest is that snake venom is digested into amino acids.,<digestion><poison><venom>,
cure for snake venom,,2,4776:0,Is hemotoxic snake venom safe to ingest?,<digestion><poison><venom>,
cure for snake venom,,3,4776:1,I have heard that snake venom is safe to ingest. Normally when I hear about this it is about hemotoxic venoms such as that of a rattlesnake.,<digestion><poison><venom>,
cure for snake venom,,4,545:0,First aid measures for a snake bite,<first-aid><venom>,
cure for snake venom,,5,4776:11,In fact I think that snake venom is more acid resistant than most proteins and so less will be digested. Also the proteins might be too complex for pepsin to break them down.,<digestion><poison><venom>,
toothpaste with or without fluoride? Pros and cons?,,1,3616:0,What are the pros and cons of personalized medicine?,<health-informatics>,
toothpaste with or without fluoride? Pros and cons?,,2,813:0,What are the pros and cons of a glycerin based personal lubricant?,<sexuality>,
toothpaste with or without fluoride? Pros and cons?,,3,5424:8,I would like to know what are the pros and cons of sleeping with and without a bra under the assumption that my bra is a perfect fit and does not by itself cause any problems.,<sleep><clothes><breast><hyperpigmentation>,
toothpaste with or without fluoride? Pros and cons?,,4,15398:3,Can those with an understanding of diet and physiology provide some pro/con considerations for each option?,<nutrition><diet>,
toothpaste with or without fluoride? Pros and cons?,,5,15398:0,"In comparing the healthiness of shredded wheat and bran flakes, what are some pro/con considerations for each?",<nutrition><diet>,
when is it safe to take a blood test?,,1,1487:0,Why should I fast before taking blood tests?,<blood-tests>,
when is it safe to take a blood test?,,2,9142:0,When to take a blood test after a gout attack,<blood-tests><gout><uric-acid>,
when is it safe to take a blood test?,,3,1487:2,"Whenever I have to take a blood sample to run some tests on it, I am always told not to eat anything for about 12 hours before the test.",<blood-tests>,
when is it safe to take a blood test?,,4,1166:1,Can a common blood test spot cancer in general? Or is it necessary to take some specific tests for each kind of cancer?,<cancer><blood-tests><diagnostics>,
when is it safe to take a blood test?,,5,1487:6,"Guess at the end of the test they should say ""well, you will probably be fine, as long as you take another blood test every couple of days"".",<blood-tests>,
are dog bites dangerous?,,1,9134:1,"I know that dog bites are dangerous and can give you rabies,but can a dog bite cause Echinococcosis?",<infection><prevention>,
are dog bites dangerous?,,2,12761:0,Whose bite is worse for infection a cat's bite or a dogs?,<infection><animal-bites>,
are dog bites dangerous?,,3,11865:0,Which is the best injection after dog bite in india,<injections>,
are dog bites dangerous?,,4,9134:0,Can dog bites cause Echinococcosis?,<infection><prevention>,
are dog bites dangerous?,,5,11864:0,Is there any food restrictions after dog bite,<food-safety><animal-bites>,
what are the side effects of Benadryl?,,1,17340:2,"If you take a drug that blocks m1 for long periods of time and attempt to stop like Benadryl or many antidepressants, insomnia is a likely side effect.",<natural-remedy>,
what are the side effects of Benadryl?,,2,263:0,Effects and side effects of artifical oxytocin,<side-effects><endocrinology>,
what are the side effects of Benadryl?,,3,823:0,Antidepressants and side effects,<side-effects><medications>,
what are the side effects of Benadryl?,,4,12107:0,Taking Benadryl after Claritin,<allergy><drug-interactions><itching><seasonal-allergies><antihistamines>,
what are the side effects of Benadryl?,,5,7315:0,Are generics tested for side effects?,<medications><side-effects>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,,1,52:1,"My job requires long periods of computer screen use. I have good eyesight (20/15) and don't wear glasses, but I definitely notice my eyes feeling fatigued at the end of the day.",<eye><computers><lifestyle>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,,2,3262:0,an animation of an object moving randomly on a computer screen to reduce eye strain?,<eye><computers>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,,3,5466:0,Do computer glasses actually work?,<eye><effectiveness><vision><stress><glasses>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,,4,13259:4,Now I am 31 years old and I don't use glasses and don't have any problem with my eyes.,<eye><computers><benefits><screen-time-limits>,
are computer glasses helpful in reducing eye fatigue or other eye problems?,,5,5466:9,Is it safe to assume that glasses like these will reduce the strain on my eyes because they don't have to focus so much anymore?,<eye><effectiveness><vision><stress><glasses>,
what are the best sleeping positions?,,1,582:2,"Is this true, and if so, in what way does it affect a person and which is the best position to sleep in?",<sleep><position>,
what are the best sleeping positions?,,2,1063:3,EDIT: Here are some example articles which speak negatively about stomach sleeping. http://www. cnn.com/2011/HEALTH/04/19/healthiest. sleep. position/ http://www. doctoroz.com/article/best-sleep-positions http://www. mayoclinic.org/diseases-conditions/back-pain/multimedia/sleeping-positions/sls-20076452?,<sleep><stomach><back><position>,
what are the best sleeping positions?,,3,7654:0,What are the best hours to sleep?,<sleep>,
what are the best sleeping positions?,,4,912:1,"Does the position of my arm and body matter? If yes, then how? What's the best body position for measuring the blood pressure?",<blood-pressure>,
what are the best sleeping positions?,,5,912:0,What's the best body position for measuring the blood pressure?,<blood-pressure>,
how can tinnitus be cured?,,1,15496:0,Can induced deafness cure tinnitus,<hearing><ear><tinnitus><cure><deaf>,
how can tinnitus be cured?,,2,15496:2,So wouldn't that mean that just eliminating the hairs entirely would cure the tinnitus? Deafness would be caused but some people would likely find living with no sound at all more preferable to constant ringing.,<hearing><ear><tinnitus><cure><deaf>,
how can tinnitus be cured?,,3,15496:1,"Some forms of tinnitus are caused by damage to the microscopic hairs in the inner ear, that, once damaged, can send electrical signals that cause the ringing sound.",<hearing><ear><tinnitus><cure><deaf>,
how can tinnitus be cured?,,4,10953:8,"I know chronic high blood pressure can cause pulsatile tinnitus, but my question is directed at non-pulsatile tinnitus.",<blood-pressure><blood-circulation><tinnitus><exertion><orgasm-climax>,
how can tinnitus be cured?,,5,496:0,Does the *frequency* of loud sounds one is exposed to affect Tinnitus risk?,<hearing>,
